"Reference","Value","Footprint","Datasheet","Digikey","Qty"
"B1","BATTERYCR1220_SMT","Adafruit:BAT_CR-1220_FCN","","P279-ND","1"
"D1-D4","LED_Small","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","1080-1419-1-ND","4"
"D5","GREEN","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","1080-1419-1-ND","1"
"D6","BLUE","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","1497-1399-1-ND","1"
"D9-D16","LED_Small","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","L62301CT-ND","8"
"MS1","FEATHERWING","AdafruitFeather:ARDUINO_A000053","","1528-2538-ND","1"
"R1-R12, R17","330R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","CF14JT330R","13"
"R13","2K2","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","CF14JT2K20","1"
"R14","10K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","CF14JT10K0","1"
"R16, R18","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","CF14JT10K0","2"
"U2","DRV5033AJxLPG","Package_TO_SOT_THT:TO-92_Inline","https://www.ti.com/lit/ds/symlink/drv5033.pdf","296-DRV5033AJQLPGMCT-ND","1"
"U3","DS3231","Package_SO:SOIC-16W_7.5x10.3mm_P1.27mm","http://datasheets.maximintegrated.com/en/ds/DS3231.pdf","DS3231M+TRLCT-ND","1"
